SiteID,Node_osmid,Site_Lat,Site_Lon,Node_Lat,Node_Lon,Distance
282,2377743870,53.35662048,-6.244127303,53.3567252,-6.2439701,0.0001888890192931648
285,195865275,53.34661313,-6.263277074,53.3472702,-6.263417,0.0006718037439385503
288,1497230537,53.34470865,-6.252177025,53.3447038,-6.2523006,0.0001236701383722679
290,26866512,53.3587369,-6.2730969,53.3586839,-6.273242,0.00015447656780045294
291,247649070,53.369054,-6.238766,53.3692322,-6.2391784,0.0004492538258048323
292,49373102,53.389996,-6.16953,53.3901279,-6.1693847,0.0001962388850398595
295,59816068,53.324053,-6.265385,53.3240348,-6.2653786,1.929248558338284e-05
297,389677,53.33070632,-6.264359504,53.3311096,-6.2645251,0.0004359550362325302
298,12428371,53.37554623,-6.265052122,53.3761563,-6.2646874,0.0007107795313491496
301,2498303858,53.33859582,-6.25539212,53.3385455,-6.2554331,6.489578414669336e-05
302,2784725491,53.322155,-6.247637,53.3221305,-6.2476367,2.4501836667941734e-05
303,97229925,53.3327329,-6.2159597,53.3324173,-6.2154905,0.0005654661793605606
304,696775774,53.33763399,-6.299292771,53.3375756,-6.2992781,6.0204902964263604e-05
305,1448439,53.34298908,-6.264406595,53.3430052,-6.2644034,1.6433576145562337e-05
308,4214979832,53.32081321,-6.292663916,53.3209416,-6.2928451,0.00022206222991762484
309,335596132,53.334252,-6.326699,53.3342988,-6.3265001,0.00020433171559985789
309,1410013882,53.3245412,-6.2958135,53.32436,-6.2958776,0.0001922036680190256
311,27688220,53.30182,-6.297239,53.3018049,-6.2972165,2.7097232330371557e-05
312,91538503,53.3147099,-6.2834513,53.3147112,-6.2833884,6.291343258851382e-05
314,4696484881,53.3889253,-6.1953892,53.3885372,-6.1943695,0.0010910589809891892
316,15852300,53.3195755,-6.3366869,53.3193645,-6.3365281,0.00026408036655569024
319,2955929629,53.3413672,-6.3485289,53.341728,-6.3488359,0.00047373583356361205
320,13259932,53.3429086,-6.3488605,53.3425668,-6.3488845,0.000342641561986741
322,359961874,53.33102001,-6.345645189,53.3309033,-6.3456384,0.00011690729070967169
323,301812302,53.3868829,-6.2007823,53.3864912,-6.2011179,0.0005158064074834514
324,389357,53.34055933,-6.270032359,53.3405743,-6.2700444,1.9211626195145134e-05
325,612623536,53.32761801,-6.30923152,53.3276129,-6.3091198,0.00011183680297623737
326,4238433,53.32831163,-6.306053102,53.3282377,-6.3062234,0.0001856530465789366
327,18161341,53.377704,-6.287545,53.3777082,-6.2874709,7.421893289444026e-05
328,559288532,53.34326199,-6.25935027,53.3444768,-6.2594674,0.0012204436787501558
329,565672574,53.316653,-6.23869,53.3167041,-6.2389046,0.000220600022665158
330,58675496,53.3282968,-6.2581681,53.3282414,-6.2585683,0.00040401633630302226
331,31936622,53.378414,-6.213154,53.3784154,-6.2131872,3.322950496164051e-05
332,1607386,53.3805653,-6.2459052,53.3810396,-6.2453595,0.0007230138172956576
333,4426389547,53.33595568,-6.312371725,53.3359676,-6.3123842,1.725433351277139e-05
334,28257132,53.3617786,-6.2467798,53.3619019,-6.2470245,0.00027400908744035067
335,11675496,53.37953644,-6.27635193,53.3795547,-6.2762504,0.00010315894774459694
336,12649673,53.34800232,-6.274761692,53.3480045,-6.2747666,5.370369076127428e-06
337,130245808,53.331583,-6.261969,53.3315605,-6.2618243,0.00014643886096241262
340,249193361,53.382041,-6.291203,53.3820278,-6.2911696,3.5913785653598466e-05
342,50881042,53.31971651,-6.243607063,53.3195803,-6.243397,0.0002503589983787344
343,267888914,53.3457992,-6.3082292,53.3462627,-6.3082384,0.00046359129628953323
344,9043911415,53.361011,-6.2831711,53.3610624,-6.2833156,0.0001533695210935127
346,248738146,53.3707446,-6.253763393,53.3706086,-6.253836,0.0001541680137067658
347,28242702,53.36586485,-6.27124694,53.3659362,-6.2713974,0.0001665203714255423
348,297387982,53.343528,-6.369191,53.3435246,-6.369186,6.046486581345257e-06
349,1410013998,53.3262392,-6.2945688,53.325765,-6.296767,0.002248766079432075
351,5597784482,53.35066989,-6.274203546,53.3507036,-6.2741309,8.008623737070219e-05
352,5207211666,53.34289897,-6.257792079,53.3429228,-6.2578287,4.369172165138075e-05
354,1447301,53.34899654,-6.251605823,53.3488274,-6.2515101,0.00019434822440775033
355,3594434240,53.34827091,-6.251592289,53.3482429,-6.2515609,4.2069340625627225e-05
356,5286717172,53.34746,-6.25179,53.3476298,-6.2517484,0.00017482162337820775
359,365307094,53.34155,-6.297829,53.3413135,-6.2977261,0.00025791599407532433
360,389339,53.33947113,-6.258811728,53.3394661,-6.25867,0.00014181723056092875
362,2425181630,53.3278219,-6.264698,53.3276164,-6.2647032,0.00020556578023313326
363,389679,53.3270744,-6.2648431,53.3270991,-6.2647939,5.5052066263654246e-05
366,385560359,53.342838,-6.27916,53.3428259,-6.2791477,1.7253985046339496e-05
367,3664132465,53.34335187,-6.274925533,53.3433743,-6.2748984,3.520375816715259e-05
368,170789284,53.343098,-6.276149,53.3430669,-6.2761703,3.769482723233419e-05
369,442394468,53.343249,-6.281382,53.3432179,-6.2813717,3.276125760799209e-05
370,26914099,53.34625409,-6.291749569,53.3469685,-6.2922417,0.0008675105585878426
371,11675225,53.3847254,-6.3127129,53.3846986,-6.3127428,4.015283302580071e-05
372,4238365,53.341616,-6.3190213,53.341539,-6.3189959,8.108119387816719e-05
374,15855896,53.3357881,-6.326521796,53.3358501,-6.3264135,0.00012478791454259816
377,301800498,53.3816229,-6.1757115,53.38215,-6.1748592,0.0010021225972900462
378,43314848,53.30824153,-6.254377542,53.3082315,-6.2545382,0.00016097078574642628
379,32019322,53.324865,-6.3210868,53.3248343,-6.3210354,5.9870276432880216e-05
380,28850804,53.39079541,-6.183380909,53.3907802,-6.1833279,5.514796624574513e-05
381,291661602,53.3919511,-6.2052757,53.3919237,-6.2052287,5.440367634613082e-05
383,32335097,53.327855,-6.226933,53.3278662,-6.2269364,1.1704699913509095e-05
384,163026318,53.39113254,-6.17868027,53.3910823,-6.1787029,5.510149272049086e-05
386,4939797800,53.3944814,-6.2120287,53.3945354,-6.2119854,6.921625532111865e-05
387,912115780,53.33987805,-6.278073639,53.3398437,-6.2780146,6.830465592467867e-05
388,13228191,53.3974292,-6.2197528,53.3972256,-6.2196719,0.00021908393368671092
390,32019360,53.32520224,-6.317579402,53.3252143,-6.317412,0.00016783585196203805
391,8762813380,53.31466534,-6.24632856,53.3146202,-6.2464558,0.00013500976705268857
394,46563731,53.306987,-6.283729,53.3071898,-6.2837651,0.00020598798509028038
